B,G,R,Target
160,157,157,hitam
156,154,154,hitam
149,149,149,hitam
149,150,150,hitam
150,150,150,hitam
154,154,154,hitam
152,152,152,hitam
154,153,153,hitam
157,157,157,hitam
158,157,157,hitam
157,157,157,hitam
158,158,158,hitam
159,159,159,hitam
159,158,158,hitam
157,157,157,hitam
155,156,156,hitam
155,155,155,hitam
156,156,156,hitam
155,155,155,hitam
153,153,153,hitam
153,153,153,hitam
176,183,156,hijau
176,184,160,hijau
179,184,158,hijau
178,185,160,hijau
176,185,161,hijau
177,184,159,hijau
178,184,158,hijau
177,184,159,hijau
176,183,157,hijau
175,182,158,hijau
174,181,155,hijau
174,182,157,hijau
173,180,156,hijau
172,179,155,hijau
174,181,155,hijau
175,182,157,hijau
174,181,156,hijau
172,179,154,hijau
168,176,149,hijau
160,168,144,hijau
159,168,144,hijau
170,178,153,hijau
177,186,160,hijau
179,187,162,hijau
182,191,164,hijau
182,191,161,hijau
166,176,148,hijau
159,167,138,hijau
179,186,159,hijau
171,180,150,hijau
178,186,157,hijau
180,188,158,hijau
180,187,159,hijau
180,187,159,hijau
179,186,161,hijau
80,150,94,hijau
81,150,93,hijau
81,151,96,hijau
83,152,96,hijau
83,153,98,hijau
84,154,97,hijau
84,155,99,hijau
87,156,99,hijau
84,154,99,hijau
87,154,99,hijau
87,154,99,hijau
82,153,98,hijau
83,152,97,hijau
81,154,100,hijau
82,153,98,hijau
82,153,98,hijau
82,152,97,hijau
83,152,96,hijau
83,151,96,hijau
81,151,96,hijau
81,151,98,hijau
81,152,96,hijau
84,152,98,hijau
82,153,98,hijau
40,40,40,hitam
40,40,40,hitam
36,36,36,hitam
36,36,36,hitam
36,36,36,hitam
36,36,36,hitam
36,36,36,hitam
35,35,35,hitam
34,34,34,hitam
35,35,35,hitam
35,35,35,hitam
35,35,35,hitam
36,36,36,hitam
35,35,35,hitam
35,35,35,hitam
35,35,35,hitam
35,35,35,hitam
35,35,35,hitam
35,35,35,hitam
35,35,35,hitam
35,35,35,hitam
35,35,35,hitam
36,36,36,hitam
35,35,35,hitam
36,36,36,hitam
34,34,34,hitam
34,34,34,hitam
34,34,34,hitam
